REGION,AGE GROUP,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Population Growth 2001-2019 (%),
,,,,,,,,,,,,,,,,,,,,,,
East Midlands,16-24,543,556,563,575,539,575,579,554,530,543,512,472,499,510,479,446,450,430,421,-22,
East Midlands,25-64,3109,3075,3087,3038,3029,3013,2995,2954,2916,2840,2815,2784,2767,2726,2713,2691,2639,2605,2567,-17,
East Midlands,65+,1024,1017,1021,1049,1076,1102,1114,1177,1209,1211,1252,1316,1357,1384,1422,1437,1481,1521,1565,53,
East Midlands,TOTAL,5764,5712,5728,5678,5646,5666,5649,5611,5564,5491,5454,5425,5466,5475,5465,5445,5437,5440,5454,-5,
,,,,,,,,,,,,,,,,,,,,,,
South West,16-24,1398,1445,1532,1608,1662,1728,1864,1981,1967,1952,1977,1926,1965,1901,1777,1734,1730,1696,1694,21,
South West,25-64,8371,8561,8681,8762,8849,9073,9151,9226,9309,9406,9538,9571,9702,9703,9723,9975,10095,10312,10415,24,
South West,65+,3370,3513,3605,3661,3725,3736,3908,3965,4067,4179,4266,4422,4601,4765,4989,5202,5433,5655,5861,74,
South West,TOTAL,16267,16742,17106,17313,17510,17829,18123,18367,18540,18773,19031,19152,19521,19633,19750,20254,20633,21082,21438,32,
,,,,,,,,,,,,,,,,,,,,,,
East of England,16-24,1361,1382,1408,1364,1445,1502,1629,1599,1683,1682,1689,1742,1690,1751,1793,1786,1802,1793,1830,34,
East of England,25-64,7408,7869,8521,8608,8953,9219,9577,9810,10073,10225,10416,10407,10330,10502,10431,10420,10412,10415,10362,40,
East of England,65+,2602,2675,2784,2822,2893,2937,2929,3006,3079,3135,3176,3320,3393,3497,3590,3640,3678,3811,3945,52,
East of England,TOTAL,14009,14803,15863,15954,16634,17153,17694,18107,18605,18849,19270,19591,19543,19948,20053,20144,20255,20321,20330,45,
,,,,,,,,,,,,,,,,,,,,,,
Yorkshire and The Humber,16-24,479,481,477,522,517,507,517,530,535,545,560,595,574,587,561,602,588,557,553,15,
Yorkshire and The Humber,25-64,2884,3014,3095,3156,3227,3298,3262,3328,3322,3392,3418,3435,3436,3476,3515,3503,3561,3583,3666,27,
Yorkshire and The Humber,65+,929,989,1027,1026,1045,1072,1132,1194,1220,1252,1289,1401,1470,1511,1555,1641,1688,1675,1723,85,
Yorkshire and The Humber,TOTAL,5242,5505,5623,5740,5851,5993,6025,6209,6235,6344,6456,6647,6711,6821,6933,7061,7177,7198,7332,40,
,,,,,,,,,,,,,,,,,,,,,,
East of England,16-24,548,598,610,682,709,736,822,867,885,906,926,935,933,945,929,867,869,842,823,50,
East of England,25-64,3346,3587,3691,3867,4005,4221,4449,4558,4632,4794,4905,4865,4959,4995,5121,5282,5337,5359,5382,61,
East of England,65+,2674,2736,2829,2961,3041,3121,3156,3202,3226,3231,3285,3405,3442,3523,3629,3668,3677,3658,3623,35,
East of England,TOTAL,7578,8043,8331,8823,9136,9512,9927,10220,10377,10634,10882,10974,11192,11349,11650,11841,11937,11871,11910,57,
,,,,,,,,,,,,,,,,,,,,,,
North West,16-24,1313,1352,1412,1393,1428,1463,1490,1483,1475,1532,1549,1606,1606,1608,1572,1471,1402,1344,1320,1,
North West,25-64,7699,7650,7722,7662,7684,7818,7845,7878,7862,7887,7861,7802,7702,7667,7697,7707,7823,7899,8065,5,
North West,65+,2868,2882,2922,2959,2990,2996,3000,3047,3141,3210,3267,3348,3432,3529,3574,3720,3766,3793,3891,36,
North West,TOTAL,14431,14447,14623,14525,14571,14745,14760,14833,14926,15087,15172,15232,15267,15287,15324,15376,15494,15542,15880,10,
,,,,,,,,,,,,,,,,,,,,,,
East Midlands,16-24,1096,1092,1107,1140,1138,1129,1176,1212,1248,1215,1244,1267,1267,1256,1225,1188,1122,1092,1069,-2,
East Midlands,25-64,6212,6207,6197,6256,6263,6306,6342,6278,6246,6279,6251,6326,6262,6265,6230,6247,6268,6250,6253,1,
East Midlands,65+,2066,2148,2161,2119,2120,2110,2132,2142,2187,2212,2206,2258,2319,2368,2385,2419,2466,2506,2567,24,
East Midlands,TOTAL,11637,11708,11657,11741,11748,11791,11878,11779,11770,11827,11767,12002,12042,12104,12052,12019,12014,11984,11996,3,
,,,,,,,,,,,,,,,,,,,,,,
East of England,16-24,1575,1606,1654,1724,1820,1869,1936,2028,2065,2155,2145,2145,2138,2143,2145,2106,2068,2029,1994,27,
East of England,25-64,9121,9267,9565,9620,9757,10025,10239,10367,10406,10410,10338,10258,10229,10214,10212,10217,10260,10293,10230,12,
East of England,65+,3893,3947,4077,4238,4324,4404,4561,4676,4768,4852,4941,4996,5106,5214,5300,5362,5408,5493,5567,43,
East of England,TOTAL,18024,18350,18863,19185,19483,19907,20371,20717,20881,21054,21078,21084,21174,21300,21426,21489,21669,21797,21768,21,
,,,,,,,,,,,,,,,,,,,,,,
West Midlands,16-24,547,569,552,527,542,552,591,622,617,671,664,664,663,646,624,636,656,676,689,26,
West Midlands,25-64,3694,3610,3545,3531,3545,3546,3533,3524,3438,3388,3370,3328,3291,3258,3257,3267,3312,3452,3577,-3,
West Midlands,65+,861,946,973,989,1028,1060,1096,1126,1158,1203,1275,1371,1395,1424,1437,1473,1497,1509,1556,81,
West Midlands,TOTAL,6532,6558,6522,6496,6563,6582,6600,6604,6519,6531,6571,6581,6542,6529,6493,6531,6633,6842,7098,9,
,,,,,,,,,,,,,,,,,,,,,,
East of England,16-24,1467,1468,1440,1456,1486,1460,1499,1529,1529,1546,1530,1454,1388,1453,1420,1394,1373,1334,1320,-10,
East of England,25-64,8171,8275,8403,8476,8562,8678,8724,8711,8821,8855,8843,8725,8775,8758,8806,8864,8987,9029,8979,10,
East of England,65+,1944,2010,2055,2113,2175,2246,2277,2314,2417,2501,2594,2771,2893,3057,3124,3218,3293,3296,3404,75,
East of England,TOTAL,14660,14730,14940,15038,15187,15349,15406,15473,15662,15799,15859,15896,16036,16308,16409,16625,16911,16949,17042,16,
